"NUTS_CODE","TIMESTAMP","MEDIAN"
"FRE12","2003-01-01",0.613
"FRE21","2003-01-01",0.765
"FRE22","2003-01-01",0.941
"FRE23","2003-01-01",0.891
"FRF11","2003-01-01",0.956
"FRF12","2003-01-01",0.655
"FRF21","2003-01-01",0.837
"FRF22","2003-01-01",0.937
"FRF23","2003-01-01",0.771
"FRF24","2003-01-01",0.705
"FRF31","2003-01-01",0.783
"FRF32","2003-01-01",0.727
"FRF33","2003-01-01",1.003
"FRF34","2003-01-01",0.914
"FRG01","2003-01-01",0.533
"FRG02","2003-01-01",0.459
"FRG03","2003-01-01",0.944
"FRG04","2003-01-01",0.866
"FRG05","2003-01-01",0.468
"FRH01","2003-01-01",0.654
"FRH02","2003-01-01",0.272
"FRH03","2003-01-01",0.617
"FRH04","2003-01-01",0.582
"FRI11","2003-01-01",0.355
"FRI12","2003-01-01",0.306
"FRI13","2003-01-01",0.429
"FRI14","2003-01-01",0.478
"FRI15","2003-01-01",0.582
"FRI21","2003-01-01",0.932
"FRI22","2003-01-01",0.781
"FRI23","2003-01-01",0.731
"FRI31","2003-01-01",0.482
"FRI32","2003-01-01",0.406
"FRI33","2003-01-01",0.398
"FRI34","2003-01-01",0.645
"FRJ11","2003-01-01",0.552
"FRJ12","2003-01-01",0.943
"FRJ13","2003-01-01",0.858
"FRJ14","2003-01-01",0.901
"FRJ15","2003-01-01",-0.086
"FRJ21","2003-01-01",0.919
"FRJ22","2003-01-01",0.937
"FRJ23","2003-01-01",0.86
"FRJ24","2003-01-01",0.647
"FRJ25","2003-01-01",0.604
"FRJ26","2003-01-01",0.815
"FRJ27","2003-01-01",0.784
"FRJ28","2003-01-01",0.638
"FRK11","2003-01-01",0.649
"FRK12","2003-01-01",1.094
"FRK13","2003-01-01",1.51
"FRK14","2003-01-01",0.814
"FRK21","2003-01-01",0.881
"FRK22","2003-01-01",0.94
"FRK23","2003-01-01",0.998
"FRK24","2003-01-01",1.327
"FRK25","2003-01-01",0.917
"FRK26","2003-01-01",0.824
"FRK27","2003-01-01",1.225
"FRK28","2003-01-01",1.089
"FRL01","2003-01-01",0.908
"FRL02","2003-01-01",0.976
"FRL03","2003-01-01",0.785
